flow,src,src_port,dst,dst_port,feduration,total_fpackets,total_bpackets,total_fpktl,total_bpktl,min_fpktl,min_bpktl,max_fpktl,max_bpktl,mean_fpktl,mean_bpktl,std_fpktl,std_bpktl,total_fiat,total_biat,min_fiat,min_biat,max_fiat,max_biat,mean_fiat,mean_biat,std_fiat,std_biat,fpsh_cnt,bpsh_cnt,furg_cnt,burg_cnt,total_fhlen,total_bhlen,fPktsPerSecond,bPktsPerSecond,flowPktsPerSecond,flowBytesPerSecond,min_flowpktl,max_flowpktl,mean_flowpktl,std_flowpktl,min_flowiat,max_flowiat,mean_flowiat,std_flowiat,flow_fin,flow_syn,flow_rst,flow_psh,flow_ack,flow_urg,flow_cwr,flow_ece,downUpRatio,avgPacketSize,fAvgSegmentSize,fAvgBytesPerBulk,fAvgPacketsPerBulk,fAvgBulkRate,bAvgSegmentSize,bAvgBytesPerBulk,bAvgPacketsPerBulk,bAvgBulkRate,label
192.168.0.11:58167<->172.217.166.10:443,192.168.0.11,58167,172.217.166.10,443,6.824892998,6,7,3543,1621,75,67,1392,483,590.5,231.5714286,509.7618071,190.6933465,6.824893,6.804529,0.000159,0.000313,6.615797,6.615797,1.3649786,1.134088167,2.935762145,2.696134211,0,0,0,0,0,0,0.879134662,1.025657106,1.904791768,756.6418992,67,1392,397.2307692,401.423333,0.000159,6.615797,0.568741083,1.904554436,0,0,0,0,0,0,0,0,2.185687847,397.2307692,548.5,2125.8,1.666666667,0.515873016,189.5714286,0,2.285714286,0.707482993,EMAIL
192.168.0.11:52296<->172.217.167.46:443,192.168.0.11,52296,172.217.167.46,443,9.236139059,12,12,10833,2456,75,68,1392,561,902.75,204.6666667,576.4031299,215.2707949,9.236139,9.218826,0.000143,0.001799,5.167579,5.167579,0.839649,0.838075091,1.793851697,1.803697295,0,0,0,0,0,0,1.299244189,1.299244189,2.598488378,1438.804669,68,1392,553.7083333,555.146865,0.000143,5.167579,0.401571261,1.282826853,0,0,0,0,0,0,0,0,4.410830619,553.7083333,860.75,5908.909091,1.833333333,0.6875,162.6666667,0,1.5,0.5625,EMAIL
192.168.0.11:60724<->202.88.149.25:53,192.168.0.11,60724,202.88.149.25,53,0.012017012,1,1,91,362,91,362,91,362,91,362,0,0,0,0,1611079096,0,1611079096,1611079096,0,0,0,0,0,0,0,0,0,0,83.21536169,83.21536169,166.4307234,37696.55885,91,362,226.5,191.6259377,0.012017,0.012017,0.012017,0,0,0,0,0,0,0,0,0,0.251381215,226.5,49,91,1,0.666666667,320,0,1,0.666666667,EMAIL
192.168.0.11:60725<->172.217.161.10:443,192.168.0.11,60725,172.217.161.10,443,0.309743166,4,5,2269,1959,75,67,1392,1392,567.25,391.8,629.9081282,571.8310065,0.309743,0.259749,0.000642,0.000543,0.163887,0.163887,0.103247667,0.06493725,0.089348264,0.05160894,0,0,0,0,0,0,12.91392495,16.14240619,29.05633114,13650.01867,67,1392,469.7777778,566.4275721,0.000543,0.113688,0.038717875,0.046513195,0,0,0,0,0,0,0,0,1.158244002,469.7777778,525.25,1815.2,1.25,0.511363636,349.8,0,1.8,0.736363636,EMAIL
192.168.0.11:49197<->216.58.200.197:443,192.168.0.11,49197,216.58.200.197,443,6.233937979,30,48,15905,8979,54,60,1484,818,530.1666667,187.0625,572.7983989,197.7341226,6.218751,6.169556,0,0,2.818262,2.818262,0.21443969,0.131267149,0.54479431,0.435349775,15,25,0,0,0,0,4.812367415,7.699787865,12.51215528,3991.698359,54,1484,319.025641,419.1175942,0,2.804438,0.080960234,0.340493355,0,0,0,40,78,0,0,0,1.771355385,319.025641,475.7666667,7822.131148,2.033333333,0.435714286,133.0625,0,3.291666667,0.705357143,EMAIL
192.168.0.11:64344<->74.125.200.189:443,192.168.0.11,64344,74.125.200.189,443,0.106583833,1,1,75,68,75,68,75,68,75,68,0,0,0,0,1611079099,0,1611079099,1611079099,0,0,0,0,0,0,0,0,0,0,9.382285961,9.382285961,18.76457192,1341.666892,68,75,71.5,4.949747468,0.106584,0.106584,0.106584,0,0,0,0,0,0,0,0,0,1.102941176,71.5,33,75,1,1,26,0,1,1,EMAIL
192.168.0.11:53347<->202.88.149.25:53,192.168.0.11,53347,202.88.149.25,53,0.013218165,1,1,73,358,73,358,73,358,73,358,0,0,0,0,1611079101,0,1611079101,1611079101,0,0,0,0,0,0,0,0,0,0,75.65346627,75.65346627,151.3069325,32606.64396,73,358,215.5,201.5254326,0.013218,0.013218,0.013218,0,0,0,0,0,0,0,0,0,0.203910615,215.5,31,73,1,0.666666667,316,0,1,0.666666667,EMAIL
192.168.0.11:53348<->172.217.166.14:443,192.168.0.11,53348,172.217.166.14,443,0.483129978,10,15,4696,14820,75,67,1392,1392,469.6,988,633.313719,601.0606102,0.48313,0.402143,0.000287,0,0.175659,0.175659,0.053681111,0.0287245,0.070993464,0.044172859,0,0,0,0,0,0,20.6983637,31.04754555,51.74590926,40394.9266,67,1392,780.64,654.4731265,0,0.128933,0.020130417,0.035545202,0,0,0,0,0,0,0,0,0.316869096,780.64,427.6,2134.545455,2.2,0.401459854,946,0,3.8,0.693430657,EMAIL
192.168.0.21:5353<->224.0.0.251:5353,192.168.0.21,5353,224.0.0.251,5353,1,1,0,157,0,157,0,157,0,157,0,0,0,0,0,1611079101,0,1611079101,1611079101,0,0,0,0,0,0,0,0,0,0,1,1,1,157,157,157,157,0,0,0,0,0,0,0,0,0,0,0,0,0,1,157,115,0,0,0,0,0,0,0,EMAIL
192.168.0.11:53186<->74.125.24.189:443,192.168.0.11,53186,74.125.24.189,443,15.08241105,2,1,150,68,75,68,75,68,75,68,0,0,14.975422,0,14.975422,0,14.975422,14.975422,14.975422,0,0,0,0,0,0,0,0,0,0.132604793,0.066302397,0.19890719,14.45392247,68,75,72.66666667,4.041451884,0.106989,14.975422,7.5412055,10.5135698,0,0,0,0,0,0,0,0,2.205882353,72.66666667,33,150,1,1,26,0,1,1,EMAIL
192.168.0.11:49601<->106.10.248.157:49601,192.168.0.11,49601,106.10.248.157,443,1,1,0,55,0,55,0,55,0,55,0,0,0,0,0,1611080149,0,1611080149,1611080149,0,0,0,0,0,0,0,0,0,0,1,1,1,55,55,55,55,0,0,0,0,0,0,0,0,0,1,0,0,0,1,55,1,0,0,0,0,0,0,0,EMAIL
192.168.0.11:49576<->52.139.250.253:49576,192.168.0.11,49576,52.139.250.253,443,9.597540855,2,0,225,0,54,0,171,0,112.5,0,82.7314934,0,9.597541,0,9.597541,0,9.597541,9.597541,9.597541,0,0,0,1,0,0,0,0,0,0.208386714,0,0.208386714,23.44350531,54,171,112.5,82.7314934,9.597541,9.597541,9.597541,0,0,0,1,1,2,0,0,0,1,112.5,58.5,0,0,0,0,0,0,0,EMAIL
192.168.0.11:49612<->216.58.200.197:443,192.168.0.11,49612,216.58.200.197,443,12.16163397,57,91,30730,17678,54,60,1484,943,539.122807,194.2637363,577.345003,216.5863356,12.141565,12.141145,0,0,4.458048,4.458048,0.216813661,0.134901611,0.629672338,0.504900891,30,46,0,0,0,0,4.686870214,7.482547183,12.1694174,3980.386198,54,1484,327.0810811,429.0179501,0,4.444208,0.082732204,0.397089358,0,0,0,76,148,0,0,0,1.738318814,327.0810811,485.122807,13269.77273,2.315789474,0.446853771,140.2637363,0,3.483516484,0.672177887,EMAIL
192.168.0.11:49605<->119.161.10.12:49605,192.168.0.11,49605,119.161.10.12,443,1,1,0,55,0,55,0,55,0,55,0,0,0,0,0,1611080151,0,1611080151,1611080151,0,0,0,0,0,0,0,0,0,0,1,1,1,55,55,55,55,0,0,0,0,0,0,0,0,0,1,0,0,0,1,55,1,0,0,0,0,0,0,0,EMAIL
192.168.0.11:62450<->172.217.167.46:443,192.168.0.11,62450,172.217.167.46,443,7.776001931,21,23,15828,5455,75,67,1392,787,753.7142857,237.173913,620.1339487,228.6185096,7.776002,7.752726,0.000124,0.000301,4.209034,4.209034,0.3888001,0.352396636,0.98259265,0.947755192,0,0,0,0,0,0,2.700616613,2.957818196,5.658434809,2737.010637,67,1392,483.7045455,523.1850835,0.000124,4.209034,0.180837256,0.688818666,0,0,0,0,0,0,0,0,2.901558203,483.7045455,711.7142857,6783.428571,2.333333333,0.64978903,195.173913,0,2.130434783,0.593285636,EMAIL
192.168.0.11:64238<->216.58.200.170:443,192.168.0.11,64238,216.58.200.170,443,8.176030875,17,18,10889,5571,75,67,1392,1392,640.5294118,309.5,518.6165633,352.1671144,8.176031,3.632072,0.000137,0.000303,4.501438,4.501438,0.511001938,0.213651294,1.202254251,0.559967879,0,0,0,0,0,0,2.079248508,2.201557244,4.280805752,2013.201791,67,1392,470.2857143,465.5744441,0.000137,4.501438,0.2404715,0.850335988,0,0,0,0,0,0,0,0,1.95458625,470.2857143,598.5294118,5609.484848,1.941176471,0.547912713,267.5,0,2.388888889,0.674283154,EMAIL
192.168.0.11:49615<->74.125.24.189:443,192.168.0.11,49615,74.125.24.189,443,0.080267191,1,1,55,66,55,66,55,66,55,66,0,0,0,0,1611080163,0,1611080163,1611080163,0,0,0,0,0,0,0,0,0,0,12.45839038,12.45839038,24.91678076,1507.465236,55,66,60.5,7.778174593,0.080267,0.080267,0.080267,0,0,0,0,0,2,0,0,0,0.833333333,60.5,1,55,1,0.666666667,0,0,1,0.666666667,EMAIL
192.168.0.11:51039<->172.217.167.197:443,192.168.0.11,51039,172.217.167.197,443,15.0242672,61,102,31170,24614,54,60,1484,1484,510.9836066,241.3137255,559.8536562,305.127306,15.007105,15.012539,0,0,2.927717,2.927717,0.250118417,0.148639,0.570145593,0.452672304,33,55,0,0,0,0,4.060098186,6.78901664,10.84911483,3712.926512,54,1484,342.2331288,437.3422759,0,2.91079,0.092742389,0.358900857,0,0,0,88,163,0,0,0,1.266352482,342.2331288,456.9836066,15090.2381,2.06557377,0.43782643,187.1960784,0,3.31372549,0.702389148,EMAIL
192.168.0.11:51066<->172.217.160.234:443,192.168.0.11,51066,172.217.160.234,443,14.11982489,30,52,9804,8225,54,60,1484,449,326.8,158.1730769,326.7599984,139.4132974,14.106104,14.107435,0,0,4.408876,4.408876,0.486417379,0.276616373,1.148608655,0.892295439,21,28,0,0,0,0,2.124672242,3.68276522,5.807437462,1276.857195,54,1484,219.8658537,239.0461892,0,4.39208,0.174318827,0.714669612,0,0,0,49,82,0,0,0,1.191975684,219.8658537,272.4,5656.153846,1.733333333,0.395914578,104.1730769,0,3.288461538,0.75112492,EMAIL
